experiment_id,timestamp,prompt_id,task_id,category,task,prompt_style,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message,recovered_from_legacy_session
20260720_032300,2026-07-20T04:16:27,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,46.0,P002_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed46.png,,,generated,,1.0
20260720_032300,2026-07-20T04:21:14,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,47.0,P002_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed47.png,,,generated,,1.0
20260720_032300,2026-07-20T04:25:56,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",42.0,P003_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T04:30:22,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",43.0,P003_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T04:35:12,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",44.0,P003_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T04:38:34,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",45.0,P003_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed45.png,,,generated,,1.0
20260720_032300,2026-07-20T04:43:35,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",46.0,P003_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed46.png,,,generated,,1.0
20260720_032300,2026-07-20T04:46:28,P003,T001,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",47.0,P003_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P003_w512_h512_seed47.png,,,generated,,1.0
20260720_032300,2026-07-20T04:49:42,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,42.0,P004_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T04:54:25,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,43.0,P004_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T04:59:43,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,44.0,P004_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T05:04:05,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,45.0,P004_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed45.png,,,generated,,1.0
20260720_032300,2026-07-20T05:07:05,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,46.0,P004_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed46.png,,,generated,,1.0
20260720_032300,2026-07-20T05:11:35,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,47.0,P004_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P004_w512_h512_seed47.png,,,generated,,1.0
20260720_032300,2026-07-20T05:14:31,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,42.0,P005_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T05:19:51,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,43.0,P005_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T05:25:06,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,44.0,P005_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T05:29:04,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,45.0,P005_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed45.png,,,generated,,1.0
20260720_032300,2026-07-20T05:34:35,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,46.0,P005_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed46.png,,,generated,,1.0
20260720_032300,2026-07-20T05:37:59,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,47.0,P005_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P005_w512_h512_seed47.png,,,generated,,1.0
20260720_032300,2026-07-20T05:42:52,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",42.0,P006_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T05:47:05,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",43.0,P006_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T05:50:55,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",44.0,P006_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T10:48:52,P006,,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",45.0,P006_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed45.png,41.9398,5103.89,generated,,
20260720_032300,2026-07-20T10:50:31,P006,,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",46.0,P006_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed46.png,26.9919,5103.89,generated,,
20260720_032300,2026-07-20T10:51:48,P006,,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",47.0,P006_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P006_w512_h512_seed47.png,30.1563,5103.89,generated,,
